statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,3764,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,41704,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,37940,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,9,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,105,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,38045,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,3915,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,34025,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,39806,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,51.2,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,35110,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,81456,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,4127,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,43365,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,39238,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,9.5,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,132,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,39370,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,4260,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,34978,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,38091,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,53.2,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,34941,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,81337,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,4506,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,43706,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,39200,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,10.3,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,122,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,39322,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,4381,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,34819,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,37631,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,53.7,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,42316,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,83524,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,1652,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,47482,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,45830,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,3.5,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,152,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,45982,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,3666,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,42164,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,36042,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,56.8,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,35612,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,81578,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,3376,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,42897,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,39521,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,7.9,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,153,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,39674,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,4062,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,35459,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,38681,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,52.6,percent,ERW088,Labour force participation rate
