"";BBBK10.M.TXI301;BBBK10.M.TXI301_FLAGS
2011-07;1119696;
2011-08;1131890;
2011-09;1140537;
2011-10;1149851;
2011-11;1171452;
2011-12;1170396;
2012-01;1170894;
2012-02;1180299;
2012-03;1189111;
2012-04;1199679;
2012-05;1218002;
2012-06;1235742;
2012-07;1256708;
2012-08;1268528;
2012-09;1291612;
2012-10;1347219;
2012-11;1373052;
2012-12;1365707;
2013-01;1363017;
2013-02;1366127;
2013-03;1356624;
2013-04;1386084;
2013-05;1390986;
2013-06;1390333;
2013-07;1399074;
2013-08;1412160;
2013-09;1424801;
2013-10;1451611;
2013-11;1462054;
2013-12;1448146;
2014-01;1453918;
2014-02;1462026;
2014-03;1454097;
2014-04;1489916;
2014-05;1501680;
2014-06;1493345;
2014-07;1499437;
2014-08;1515577;
2014-09;1522885;
2014-10;1548550;
2014-11;1575165;
2014-12;1557783;
2015-01;1586391;
2015-02;1610207;
2015-03;1616751;
2015-04;1645798;
2015-05;1674552;
2015-06;1679595;
2015-07;1693131;
2015-08;1706991;
2015-09;1721405;
2015-10;1752742;
2015-11;1788355;
2015-12;1766053;
2016-01;1793640;
2016-02;1806975;
2016-03;1793141;
2016-04;1817330;
2016-05;1839554;
2016-06;1841273;
2016-07;1853427;
2016-08;1864642;
2016-09;1867566;
2016-10;1879895;
2016-11;1917228;
2016-12;1912553;
2017-01;1928868;
2017-02;1943032;
2017-03;1945138;
2017-04;1954845;
2017-05;1972106;
2017-06;1992057;
2017-07;1988068;
2017-08;2002347;
2017-09;2008193;
2017-10;2022983;
2017-11;2056097;
2017-12;2045510;
2018-01;2056207;
2018-02;2062130;
2018-03;2061303;
2018-04;2076611;
2018-05;2116559;
2018-06;2110119;
2018-07;2116477;
2018-08;2119146;
2018-09;2146506;
2018-10;2158298;
2018-11;2196841;
2018-12;2195025;
2019-01;2180737;
2019-02;2189361;
2019-03;2212119;
2019-04;2230047;
2019-05;2253975;
2019-06;2263581;
2019-07;2271318;
2019-08;2297907;
2019-09;2298515;
2019-10;2316529;
2019-11;2341162;
2019-12;2340071;
2020-01;2332950;
2020-02;2350850;
2020-03;2444044;
2020-04;2454290;
2020-05;2504952;
2020-06;2514778;
2020-07;2519549;
2020-08;2537922;
2020-09;2564649;
2020-10;2595412;
2020-11;2639317;
2020-12;2632789;
2021-01;2678218;
2021-02;2698625;
2021-03;2724147;
2021-04;2736763;
2021-05;2764281;
2021-06;2772306;
2021-07;2793867;
2021-08;2814838;
2021-09;2820297;
2021-10;2824082;
2021-11;2866062;
2021-12;2853361;
2022-01;2876419;
2022-02;2900035;
2022-03;2892933;
2022-04;2892384;
2022-05;2914043;
2022-06;2934814;
2022-07;2941886;
2022-08;2999499;
2022-09;2943967;
2022-10;2912094;
2022-11;2920769;
2022-12;2881594;
2023-01;2849263;
2023-02;2816756;
2023-03;2769623;
2023-04;2757575;
2023-05;2752310;
2023-06;2722625;
2023-07;2700421;
2023-08;2678710;
2023-09;2666178;
2023-10;2634838;
2023-11;2643033;
2023-12;2624685;
2024-01;2577922;
2024-02;2559614;
2024-03;2562415;
2024-04;2558289;
2024-05;2585242;
2024-06;2587003;
2024-07;2579440;
2024-08;2633207;
2024-09;2639627;
2024-10;2645176;
2024-11;2703918;
2024-12;2719775;
2025-01;2693866;
2025-02;2727735;
2025-03;2725103;
2025-04;2764355;
2025-05;2786390;
2025-06;2783053;
2025-07;2795185;
2025-08;2812305;
2025-09;2813693;
2025-10;2851230;
2025-11;2900067;
2025-12;2908443;
2026-01;2904863;
2026-02;2905848;
"";Bemerkung: Die deutschen Beiträge zu den monetären Aggregaten des Eurosystems sind keinesfalls als eigene nationale Geldmengenaggregate zu interpretieren und damit auch nicht mit den früheren deutschen Geldbeständen M1, M2 oder M3 vergleichbar. Täglich fällige Einlagen (ohne Einlagen von Zentralstaaten) und (für EWU) Bargeldumlauf sowie täglich fällige  monetäre Verbindlichkeiten der Zentralstaaten die in der Konsolidierten Bilanz nicht enthalten sind.;
"";Methodik: Die Angaben sind mit den bis Ende 1998 für Deutschland veröffentlichten Zahlen wegen unterschiedlicher Positionsinhalte und abweichender Berichtskreise nicht vergleichbar. Ab Jan. 2002 ohne Bargeldumlauf.;
