year,month,value_code,value_label,Imports: Value index,Exports: Value index,Terms of trade
2020,June,EGW5-8,Industrial products,80.6,84.1,104.8
2020,June,EGW9,Other unallocated products,77.8,87.3,98.9
2020,June,EGW1-9,Total,81.4,84.5,104.1
2020,July,EGW1,Live animals,120.7,85.8,83.9
2020,July,EGW2,Food of animal origin,92.6,99.9,103.3
2020,July,EGW3,Food of vegetable origin,90.3,86.6,100.2
2020,July,EGW4,Tea, alcoholic beverages,e,e
2020,July,EGW1-4,Food,91.3,93,101.7
2020,July,EGW5,Raw materials,56.7,98.1,82.2
2020,July,EGW6,Semi-finished goods,61,72.4,104.6
2020,July,EGW7,Intermediate products,77.1,75.2,98.2
2020,July,EGW8,End products,90.7,93.9,102.5
2020,July,EGW7-8,Finished goods,88.7,91.5,102.1
2020,July,EGW5-8,Industrial products,83.5,90.3,105.9
2020,July,EGW9,Other unallocated products,77.9,87.2,104.9
2020,July,EGW1-9,Total,83.9,90.5,105.5
2020,August,EGW1,Live animals,120.6,108.1,86.4
2020,August,EGW2,Food of animal origin,90.6,99.3,105.8
2020,August,EGW3,Food of vegetable origin,85.1,87.4,103.7
2020,August,EGW4,Tea, alcoholic beverages,e,e
2020,August,EGW1-4,Food,86.2,92.7,104.5
2020,August,EGW5,Raw materials,57,104.8,84
2020,August,EGW6,Semi-finished goods,61,72.6,102.1
2020,August,EGW7,Intermediate products,74,70.1,91.4
2020,August,EGW8,End products,84.9,80.7,99.5
2020,August,EGW7-8,Finished goods,83.3,79.3,98.5
2020,August,EGW5-8,Industrial products,79.1,79.1,102
2020,August,EGW9,Other unallocated products,87.7,108.9,95.3
2020,August,EGW1-9,Total,80,80.3,102.1
2020,September,EGW1,Live animals,97.9,98.4,99.8
2020,September,EGW2,Food of animal origin,98.4,97.8,102.1
2020,September,EGW3,Food of vegetable origin,92.6,92.6,101.5
2020,September,EGW4,Tea, alcoholic beverages,e,e
2020,September,EGW1-4,Food,94.6,95,102
2020,September,EGW5,Raw materials,69.3,127.4,81.9
2020,September,EGW6,Semi-finished goods,64,82.2,106.8
2020,September,EGW7,Intermediate products,82.9,82.2,91.7
2020,September,EGW8,End products,97.9,99.5,100.7
2020,September,EGW7-8,Finished goods,95.8,97.2,99.7
2020,September,EGW5-8,Industrial products,90.6,96.6,103.3
2020,September,EGW9,Other unallocated products,85.7,116.4,104.5
2020,September,EGW1-9,Total,90.7,96.8,103.2
2020,October,EGW1,Live animals,91.9,103,100.2
2020,October,EGW2,Food of animal origin,99.4,96.1,101.5
2020,October,EGW3,Food of vegetable origin,92.6,97.2,101.8
2020,October,EGW4,Tea, alcoholic beverages,e,e
2020,October,EGW1-4,Food,95.4,97.4,102.1
2020,October,EGW5,Raw materials,72.3,121.1,91.1
2020,October,EGW6,Semi-finished goods,73.6,79.2,99.7
2020,October,EGW7,Intermediate products,81.5,83.3,94.1
2020,October,EGW8,End products,99.9,102,101.2
2020,October,EGW7-8,Finished goods,97.3,99.5,100.3
2020,October,EGW5-8,Industrial products,93,98.4,103.4
2020,October,EGW9,Other unallocated products,96.6,123.3,99.7
2020,October,EGW1-9,Total,93.4,98.7,103.1
2020,November,EGW1,Live animals,84.7,93.6,107.1
2020,November,EGW2,Food of animal origin,99.3,90,100.6
2020,November,EGW3,Food of vegetable origin,95.3,97.4,101.6
2020,November,EGW4,Tea, alcoholic beverages,e,e
2020,November,EGW1-4,Food,96.9,95.1,101.6
2020,November,EGW5,Raw materials,71.1,143,93
2020,November,EGW6,Semi-finished goods,74.8,80.3,102.3
2020,November,EGW7,Intermediate products,76.1,86,104.2
2020,November,EGW8,End products,104,101.7,99.5
2020,November,EGW7-8,Finished goods,100.1,99.6,100
2020,November,EGW5-8,Industrial products,95.3,98.8,103.1
2020,November,EGW9,Other unallocated products,111.4,102.8,108.1
2020,November,EGW1-9,Total,96.1,98.6,102.7
2020,December,EGW1,Live animals,87.7,101.4,107.8
2020,December,EGW2,Food of animal origin,99.8,92,98.4
2020,December,EGW3,Food of vegetable origin,87.4,89.8,102
2020,December,EGW4,Tea, alcoholic beverages,e,e
2020,December,EGW1-4,Food,90.3,91.1,101.5
2020,December,EGW5,Raw materials,71.3,133.5,92.6
2020,December,EGW6,Semi-finished goods,67.7,74.3,97
2020,December,EGW7,Intermediate products,75.6,71.5,89.4
2020,December,EGW8,End products,92.2,92.1,101.6
2020,December,EGW7-8,Finished goods,89.9,89.4,100.3
2020,December,EGW5-8,Industrial products,86.3,88.9,103.1
