statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,2_variable_code,2_variable_label,2_variable_attribute_code,2_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,value_q
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-04,Service activities,1037.506,EUR bn,ETG005,Compensation of employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-04,Service activities,1355.7,h,STD007,Hours worked per person in empl. (dom. concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-04,Service activities,42869.838,mn h,STD002,Hours worked by persons in empl.(domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-04,Service activities,36414.6214,mn h,STD003,Hours worked by employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-04,Service activities,31622,1000,ERW063,Persons in employment (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-K,Financial and insurance activities,1473.8,h,STD008,Hours worked per employee (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-K,Financial and insurance activities,49.808,EUR bn,VST020,Gross wages and salaries (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-K,Financial and insurance activities,1162,1000,ERW061,Employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-K,Financial and insurance activities,62.841,EUR bn,ETG005,Compensation of employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-K,Financial and insurance activities,1555.9,h,STD007,Hours worked per person in empl. (dom. concept),e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-K,Financial and insurance activities,2019.5402,mn h,STD002,Hours worked by persons in empl.(domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-K,Financial and insurance activities,1712.5545,mn h,STD003,Hours worked by employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-K,Financial and insurance activities,1298,1000,ERW063,Persons in employment (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-O-03,Public services, education, health,1348.9,h,STD008
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-O-03,Public services, education, health,345.386,EUR bn,VST020
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-O-03,Public services, education, health,10257,1000,ERW061
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-O-03,Public services, education, health,434.449,EUR bn,ETG005
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-O-03,Public services, education, health,1364.5,h,STD007
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-O-03,Public services, education, health,14905.6184,mn h,STD002
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-O-03,Public services, education, health,13835.4911,mn h,STD003
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-O-03,Public services, education, health,10924,1000,ERW063
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-B-05,Industry,1460.9,h,STD008,Hours worked per employee (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-B-05,Industry,406.089,EUR bn,VST020,Gross wages and salaries (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-B-05,Industry,9708,1000,ERW061,Employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-B-05,Industry,486.713,EUR bn,ETG005,Compensation of employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-B-05,Industry,1509.8,h,STD007,Hours worked per person in empl. (dom. concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-B-05,Industry,15843.953,mn h,STD002,Hours worked by persons in empl.(domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-B-05,Industry,14182.8622,mn h,STD003,Hours worked by employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-B-05,Industry,10494,1000,ERW063,Persons in employment (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,1022.1,h,STD008,Hours worked per employee (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,56.134,EUR bn,VST020,Gross wages and salaries (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,2552,1000,ERW061,Employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,67.298,EUR bn,ETG005,Compensation of employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,1111.4,h,STD007,Hours worked per person in empl. (dom. concept),e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,3353.0913,mn h,STD002,Hours worked by persons in empl.(domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,2608.3037,mn h,STD003,Hours worked by employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,3017,1000,ERW063,Persons in employment (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,1302,h,STD008
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,207.363,EUR bn,VST020
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,8510,1000,ERW061
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,245.72,EUR bn,ETG005
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,1402.3,h,STD007
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,13456.8959,mn h,STD002
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,11079.9151,mn h,STD003
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-01,Trade, transportation, accom. and food service,9596,1000,ERW063
81000,National accounts of the Federation,JAHR,Year,2003,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,1049.4,h,STD008,Hours worked per employee (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2003,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,40.119,EUR bn,VST020,Gross wages and salaries (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2003,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,2387,1000,ERW061,Employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2003,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,48.392,EUR bn,ETG005,Compensation of employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2003,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,1164,h,STD007,Hours worked per person in empl. (dom. concept),e
81000,National accounts of the Federation,JAHR,Year,2003,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,3242.9076,mn h,STD002,Hours worked by persons in empl.(domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2003,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,2505.0089,mn h,STD003,Hours worked by employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2003,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-R-02,Other service providers,2786,1000,ERW063,Persons in employment (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,1991,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-M-02,Business services,1415.5,h,STD008,Hours worked per employee (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,1991,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-M-02,Business services,34.009,EUR bn,VST020,Gross wages and salaries (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,1991,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-M-02,Business services,1887,1000,ERW061,Employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,1991,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-M-02,Business services,40.175,EUR bn,ETG005,Compensation of employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,1991,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-M-02,Business services,1573.3,h,STD007,Hours worked per person in empl. (dom. concept),e
81000,National accounts of the Federation,JAHR,Year,1991,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-M-02,Business services,3642.1366,mn h,STD002,Hours worked by persons in empl.(domestic concept),e
81000,National accounts of the Federation,JAHR,Year,1991,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-M-02,Business services,2670.9868,mn h,STD003,Hours worked by employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,1991,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-M-02,Business services,2315,1000,ERW063,Persons in employment (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,1510,h,STD008,Hours worked per employee (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,51.107,EUR bn,VST020,Gross wages and salaries (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,1922,1000,ERW061,Employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,61.983,EUR bn,ETG005,Compensation of employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,1634.7,h,STD007,Hours worked per person in empl. (dom. concept),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,3839.8811,mn h,STD002,Hours worked by persons in empl.(domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,2902.2216,mn h,STD003,Hours worked by employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,2349,1000,ERW063,Persons in employment (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2021,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-L,Real estate activities,1175.1,h,STD008,Hours worked per employee (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2021,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-L,Real estate activities,16.721,EUR bn,VST020,Gross wages and salaries (domestic concept),e
