statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,value_q
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,3629,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,224.838,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,1737.198,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,2999,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,2031,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,463.467,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,137.27,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,205.537,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,590.402,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,882.5,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,2590,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,154.828,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,1088.037,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,2100,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,1405,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,292.098,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,128.181,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,190.658,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,565.681,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,841.183,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,2521,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,147.321,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,1031.841,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,2055,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,1382,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,275.502,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,123.857,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,189.869,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,558.593,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,832.586,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,2494,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,150.136,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,1022.455,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,2031,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,1363,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,273.993,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,135.097,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,201.133,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,571.008,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,857.108,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,2562,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,151.003,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,1058.241,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,2075,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,1382,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,286.1,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,133.216,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,196.317,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,558.634,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,839.875,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,2538,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,148.025,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,1036.192,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,2057,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,1368,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,281.241,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,148.87,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,219.137,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,654.887,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,949.688,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,2785,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,145.931,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,1168.825,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,2263,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,1560,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,294.801,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,151.36,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,218.024,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,654.216,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,948.798,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,2793,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,143.222,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,1166.822,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,2271,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,1566,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,294.582,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,341.555,EUR bn,SOZ003,Employees' social contributions,p
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,439.921,EUR bn,SOZ002,Employers' social contributions,p
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,1409.821,EUR bn,VST013,Net wages and salaries (national concept),p
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,2038.99,EUR bn,VST006,Gross wages and salaries (national concept),p
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,4900,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,287.614,EUR bn,STEU18,Income tax,p
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,2478.911,EUR bn,ETG004,Compensation of employees (national concept),p
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,4030,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),p
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,2787,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),p
81000,National accounts of the Federation,JAHR,Year,2025,DINSG,Germany,DG,Germany,629.169,EUR bn,ABZ002,Income tax and social contributions of employees,p
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,143.97,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,217.157,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,642.953,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,940.287,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,2720,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,153.364,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,1157.444,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,2210,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,1511,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,297.334,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,317.255,EUR bn,SOZ003,Employees' social contributions,p
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,410.613,EUR bn,SOZ002,Employers' social contributions,p
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,1355.476,EUR bn,VST013,Net wages and salaries (national concept),p
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,1947.236,EUR bn,VST006,Gross wages and salaries (national concept),p
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,4664,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,274.505,EUR bn,STEU18,Income tax,p
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,2357.849,EUR bn,ETG004,Compensation of employees (national concept),p
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,3852,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),p
