statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,2_variable_code,2_variable_label,2_variable_attribute_code,2_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),453.008,unit app.,VGR009,GFCF in construction,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),2218.511,unit app.,VGR035,Household final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),894.143,unit app.,VGR041,Gross fixed capital formation (GFCF),
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1812.922,unit app.,EXP001,Exports of goods and services,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),4219.31,unit app.,VGR014,Gross domestic product,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),277.41,unit app.,VGR008,GFCF in machinery and equipment,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),905.202,unit app.,VGR015,Government final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1645.332,unit app.,IMP001,Imports of goods and services,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),928.007,unit app.,VGR012,Gross capital formation,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),44.983,unit app.,VGR034,Changes in inv.,p
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),61.495,unit app.,VGR028,Final consumption expenditure of NPISHs,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),163.522,unit app.,VGR022,Balance of exports and imports,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),4165.448,unit app.,VGR038,Domestic uses,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),167.962,unit app.,VGR042,GFCF in other products,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),2869.334,unit app.,VGR094,Individual consumption,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),3234.744,unit app.,VGR039,Final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),586.372,unit app.,VGR018,Individual consumption expenditure of general gov.,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),2221.467,unit app.,VGR026,Final consumption expenditure of households,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),365.41,unit app.,VGR040,Collective consumption expenditure of gen. gov.,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),450.662,unit app.,VGR009,GFCF in construction,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),2282.962,unit app.,VGR035,Household final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),885.721,unit app.,VGR041,Gross fixed capital formation (GFCF),
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1793.668,unit app.,EXP001,Exports of goods and services,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),4328.97,unit app.,VGR014,Gross domestic product,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),267.097,unit app.,VGR008,GFCF in machinery and equipment,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),951.782,unit app.,VGR015,Government final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1630.146,unit app.,IMP001,Imports of goods and services,
81000,National accounts of the Federation,JAHR,Year,2024,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),930.704,unit app.,VGR012,Gross capital formation,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),16.375,unit app.,VGR034,Changes in inv.,e
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),29.858,unit app.,VGR028,Final consumption expenditure of NPISHs,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),20.114,unit app.,VGR022,Balance of exports and imports,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1947.066,unit app.,VGR038,Domestic uses,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),53.823,unit app.,VGR042,GFCF in other products,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1328.51,unit app.,VGR094,Individual consumption,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1486.647,unit app.,VGR039,Final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),226.456,unit app.,VGR018,Individual consumption expenditure of general gov.,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1072.196,unit app.,VGR026,Final consumption expenditure of households,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),158.137,unit app.,VGR040,Collective consumption expenditure of gen. gov.,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),249.411,unit app.,VGR009,GFCF in construction,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1102.054,unit app.,VGR035,Household final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),444.044,unit app.,VGR041,Gross fixed capital formation (GFCF),
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),485.921,unit app.,EXP001,Exports of goods and services,
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1967.18,unit app.,VGR014,Gross domestic product,
